commodity,date,title,description,source,text
basmati rice,2026-06-15 14:32:38+00:00,Cauliflower Sushi Rice,"Cauliflower Sushi Rice is a great way to add fiber while reducing the amount of calories per serving. Simply toss steamed cauliflower rice with cooked sushi rice (or use short or long grain white, basmati or sticky rice) and seasoned rice vinegar. Yields abou…",Simplyscratch.com,"Cauliflower Sushi Rice Cauliflower Sushi Rice is a great way to add fiber while reducing the amount of calories per serving. Simply toss steamed cauliflower rice with cooked sushi rice (or use short or long grain white, basmati or sticky rice) and seasoned rice vinegar. Yields abou…"
basmati rice,2026-06-15 12:18:11+00:00,India Inc gears up for Middle East rebound after peace deal,"Indian businesses are preparing for a surge in Middle East demand following a peace agreement. Companies are increasing production and securing shipping capacity. This move aims to revive exports disrupted during the conflict. FMCG firms, carmakers, and const…",The Times of India,"India Inc gears up for Middle East rebound after peace deal Indian businesses are preparing for a surge in Middle East demand following a peace agreement. Companies are increasing production and securing shipping capacity. This move aims to revive exports disrupted during the conflict. FMCG firms, carmakers, and const…"
basmati rice,2026-06-15 10:45:01+00:00,"2 rice export bodies seek review of Apeda move to appoint new law firm to handle Basmati GI, IPR cases","They claim the decision was ‘arbitrary’ without consulting  stakeholders and exporters, but APEDA sources say due process has been followed",BusinessLine,"2 rice export bodies seek review of Apeda move to appoint new law firm to handle Basmati GI, IPR cases They claim the decision was ‘arbitrary’ without consulting  stakeholders and exporters, but APEDA sources say due process has been followed"
basmati rice,2026-06-14 19:27:08+00:00,"Basmati rice, tea exports to West Asia come to a grinding halt","Exports of basmati rice and tea to West Asia have stopped due to the US-Iran conflict. Vessels carrying rice are waiting at Kandla Port. Tea exporters face a similar situation, with orders from GCC countries unfulfilled. The Strait of Hormuz closure and attac…",The Times of India,"Basmati rice, tea exports to West Asia come to a grinding halt Exports of basmati rice and tea to West Asia have stopped due to the US-Iran conflict. Vessels carrying rice are waiting at Kandla Port. Tea exporters face a similar situation, with orders from GCC countries unfulfilled. The Strait of Hormuz closure and attac…"
basmati rice,2026-06-12 13:24:39+00:00,"APEDA releases SOP on rice export to China, orders for immediate compliance",The authority is keen to protect its footprint in a lucrative neighbouring market that shows strong demand for Indian broken rice,BusinessLine,"APEDA releases SOP on rice export to China, orders for immediate compliance The authority is keen to protect its footprint in a lucrative neighbouring market that shows strong demand for Indian broken rice"
basmati rice,2026-06-12 04:22:18+00:00,Select Areas: 2-Pk 15-Lb Authentic Royal Basmati White Rice $28.45 w/ S&S,"Amazon [amazon.com] has *2-pk 15-lbs Authentic Royal Basmati White Rice* for *$28.47*. 
*Shipping is free* with Prime or on $35+ orders. 
 
*Price* 
*$19.51* lower (41% savings) than the *bundle*...",Slickdeals.net,"Select Areas: 2-Pk 15-Lb Authentic Royal Basmati White Rice $28.45 w/ S&S Amazon [amazon.com] has *2-pk 15-lbs Authentic Royal Basmati White Rice* for *$28.47*. 
*Shipping is free* with Prime or on $35+ orders. 
 
*Price* 
*$19.51* lower (41% savings) than the *bundle*..."
basmati rice,2026-06-10 16:07:46+00:00,BRICS needs to prioritise food security,"The bloc must move beyond calories, and ensure easy, equitable access to diverse and nutritious food sources",BusinessLine,"BRICS needs to prioritise food security The bloc must move beyond calories, and ensure easy, equitable access to diverse and nutritious food sources"
basmati rice,2026-06-10 15:21:16+00:00,APEDA to park maximum fee in FDs from non-Basmati export development Fund,APEDA plans to invest surplus Non-Basmati Rice Development Fund fees in term deposits to promote non-basmati rice exports effectively.,BusinessLine,APEDA to park maximum fee in FDs from non-Basmati export development Fund APEDA plans to invest surplus Non-Basmati Rice Development Fund fees in term deposits to promote non-basmati rice exports effectively.
basmati rice,2026-06-10 03:58:15+00:00,India's exports hit all-time high of $863 bn in FY 25-26: Commerce ministry official,"Additional secretary at the Union Ministry of Commerce, Nitin Kumar Yadav, revealed the numbers at a convention of exporters, industry bodies, and farmer producer organisations here",BusinessLine,"India's exports hit all-time high of $863 bn in FY 25-26: Commerce ministry official Additional secretary at the Union Ministry of Commerce, Nitin Kumar Yadav, revealed the numbers at a convention of exporters, industry bodies, and farmer producer organisations here"
basmati rice,2026-06-09 13:24:17+00:00,Promo Naked Papa x The Common Sister Menu Kolaborasi Juni 2026,"Promo Naked Papa x The Common Sister Menu Kolaborasi Juni 2026 periode 8 – 21 Juni 2026 menghadirkan African Chicken dan Gorgonzola Crepes di Naked Papa BSD dan Permata Buana. You’ve seen the teasers. You’ve - [ baca lebih lanjut ] -
The post Promo Naked Papa…",Katalogpromosi.com,"Promo Naked Papa x The Common Sister Menu Kolaborasi Juni 2026 Promo Naked Papa x The Common Sister Menu Kolaborasi Juni 2026 periode 8 – 21 Juni 2026 menghadirkan African Chicken dan Gorgonzola Crepes di Naked Papa BSD dan Permata Buana. You’ve seen the teasers. You’ve - [ baca lebih lanjut ] -
The post Promo Naked Papa…"
basmati rice,2026-06-08 20:00:59+00:00,"Morimoto Asia, Sunshine Seasons, and 25 More Disney World Restaurants CHANGED This Week",Disney World restaurant menus changed this week!,allears.net,"Morimoto Asia, Sunshine Seasons, and 25 More Disney World Restaurants CHANGED This Week Disney World restaurant menus changed this week!"
basmati rice,2026-06-07 18:30:21+00:00,27 Disney World Restaurants CHANGED This Week,Disney World restaurants changed this week!,disneyfoodblog.com,27 Disney World Restaurants CHANGED This Week Disney World restaurants changed this week!
basmati rice,2026-06-06 17:04:15+00:00,Royal 15-lb. Basmati White Rice 2-Pack for $30 + free shipping w/ Prime,"This 2-pack of Royal Basmati White Rice is 37% off the regular price of $47.98, matching Amazon's all-time low. Each 15-lb. bag is gluten-free, kosher, and halal certified. Buy Now at Amazon
 Features
 <ul> <li>15 lbs per bag, pack of 2 (30 lbs total)</li> …",Dealnews.com,"Royal 15-lb. Basmati White Rice 2-Pack for $30 + free shipping w/ Prime This 2-pack of Royal Basmati White Rice is 37% off the regular price of $47.98, matching Amazon's all-time low. Each 15-lb. bag is gluten-free, kosher, and halal certified. Buy Now at Amazon
 Features
 <ul> <li>15 lbs per bag, pack of 2 (30 lbs total)</li> …"
basmati rice,2026-06-04 15:36:46+00:00,"EU may not get exclusive marketing status for its wines, spirits and cheese in India",A joint communique of a meeting held with Pakistan on June 1 said both sides agreed on a UN resolution to the Jammu and Kashmir dispute between New Delhi and Islamabad,BusinessLine,"EU may not get exclusive marketing status for its wines, spirits and cheese in India A joint communique of a meeting held with Pakistan on June 1 said both sides agreed on a UN resolution to the Jammu and Kashmir dispute between New Delhi and Islamabad"
basmati rice,2026-06-03 20:45:00+00:00,OpenAI and Meaghan B Murphy Discuss How ChatGPT Can Make Everyday Life a Little Easier with YourUpdateTV,Nationwide media tour conducted by OpenAI in conjunction with D S Simon Media on the topic of how ChatGPT is becoming the Go-To tool for getting through the day Nationwide media tour conducted by OpenAI in conjunction with D S Simon Media on the topic of how …,GlobeNewswire,OpenAI and Meaghan B Murphy Discuss How ChatGPT Can Make Everyday Life a Little Easier with YourUpdateTV Nationwide media tour conducted by OpenAI in conjunction with D S Simon Media on the topic of how ChatGPT is becoming the Go-To tool for getting through the day Nationwide media tour conducted by OpenAI in conjunction with D S Simon Media on the topic of how …
basmati rice,2026-06-03 04:00:10+00:00,Apricot Glazed Chicken Thighs,"These Apricot Glazed Chicken Thighs are simple and so flavorful. Boneless skinless chicken thighs are topped with sweet (and only slightly spicy), ginger and garlic apricot glaze and roasts in the oven until sticky, sweet and delicious. Serve with rice and ro…",Simplyscratch.com,"Apricot Glazed Chicken Thighs These Apricot Glazed Chicken Thighs are simple and so flavorful. Boneless skinless chicken thighs are topped with sweet (and only slightly spicy), ginger and garlic apricot glaze and roasts in the oven until sticky, sweet and delicious. Serve with rice and ro…"
basmati rice,2026-06-01 04:00:42+00:00,Garlic Toasted Almond Basmati Rice,"This Garlic Toasted Almond Basmati Rice recipe is easy and flavorful! Toasted, tender and aromatic basmati rice is tossed with garlic olive oil and toasted sliced almonds for a simple side dish. Yields 6 to 8 servings. Meet my go-to side dish for just about e…",Simplyscratch.com,"Garlic Toasted Almond Basmati Rice This Garlic Toasted Almond Basmati Rice recipe is easy and flavorful! Toasted, tender and aromatic basmati rice is tossed with garlic olive oil and toasted sliced almonds for a simple side dish. Yields 6 to 8 servings. Meet my go-to side dish for just about e…"
basmati rice,2026-05-31 18:00:29+00:00,"Royal White Basmati Long Grain Rice, Bulk Bag, 20 lb – Just $21.44!","It’s time to revisit some of the most popular deals from the past week! If you missed it, this one is a good deal to grab! Perfect for summer meals! This rice is super yummy and makes a great addition to meals. If you love this kind of rice like...",Commonsensewithmoney.com,"Royal White Basmati Long Grain Rice, Bulk Bag, 20 lb – Just $21.44! It’s time to revisit some of the most popular deals from the past week! If you missed it, this one is a good deal to grab! Perfect for summer meals! This rice is super yummy and makes a great addition to meals. If you love this kind of rice like..."
basmati rice,2026-05-31 05:41:07+00:00,$28.47* | 2-pk 15-lbs Authentic Royal Basmati White Rice at Amazon (0 replies),"Amazon [amazon.com] has 2-pk 15-lbs Authentic Royal Basmati White Rice for $28.47.
Shipping is free with Prime or on $35+ orders.

Price
$19.51 lower (41% savings) than the bundle price of $47.98
$4.5",Slickdeals.net,"$28.47* | 2-pk 15-lbs Authentic Royal Basmati White Rice at Amazon (0 replies) Amazon [amazon.com] has 2-pk 15-lbs Authentic Royal Basmati White Rice for $28.47.
Shipping is free with Prime or on $35+ orders.

Price
$19.51 lower (41% savings) than the bundle price of $47.98
$4.5"
basmati rice,2026-05-28 00:09:37+00:00,2 Pack Of Royal Basmati 15 Pound Bags Of White Rice For $28.02-$31.32 From Amazon,"2 Pack Of Royal Basmati 15 Pound Bags Of White Rice For $28.02-$31.32 From Amazon -OU-Parve. The information below is per-pack only AUTHENTIC FLAVOR: Long and fluffy, naturally aromatic, long grain Basmati rice; Aged for non-sticky texture and sweet flavor NA…",Dansdeals.com,"2 Pack Of Royal Basmati 15 Pound Bags Of White Rice For $28.02-$31.32 From Amazon 2 Pack Of Royal Basmati 15 Pound Bags Of White Rice For $28.02-$31.32 From Amazon -OU-Parve. The information below is per-pack only AUTHENTIC FLAVOR: Long and fluffy, naturally aromatic, long grain Basmati rice; Aged for non-sticky texture and sweet flavor NA…"
basmati rice,2026-05-27 22:05:46+00:00,2-Pack 15-Pound Authentic Royal Basmati White Rice $31.32 w/ S&S + Free Shipping w/ Prime or on $35+,Amazon [amazon.com] has *2-Pack 15-Pound Authentic Royal Basmati White Rice* on sale for $32.97 - 5% off when you checkout via Subscribe & Save = *$31.32*. Shipping is free w/ Prime or on orders $35+.,Slickdeals.net,2-Pack 15-Pound Authentic Royal Basmati White Rice $31.32 w/ S&S + Free Shipping w/ Prime or on $35+ Amazon [amazon.com] has *2-Pack 15-Pound Authentic Royal Basmati White Rice* on sale for $32.97 - 5% off when you checkout via Subscribe & Save = *$31.32*. Shipping is free w/ Prime or on orders $35+.
basmati rice,2026-05-27 18:27:17+00:00,"Too hot to handle: Heatwave in North India slows textile, rice supply chains","Northern India's blistering heatwaves are wreaking havoc on vital industries, significantly hampering the trade of Basmati rice and textile production in the Delhi-NCR region. Workers face unbearable temperatures, resulting in increased absenteeism and interr…",The Times of India,"Too hot to handle: Heatwave in North India slows textile, rice supply chains Northern India's blistering heatwaves are wreaking havoc on vital industries, significantly hampering the trade of Basmati rice and textile production in the Delhi-NCR region. Workers face unbearable temperatures, resulting in increased absenteeism and interr…"
basmati rice,2026-05-27 11:47:00+00:00,The Cumin Club Deserves More Fanfare for Its 5-Minute Meal Kits Made by Indian Chefs,"I was surprised I hadn’t heard of The Cumin Club, as the five vegan Indian dishes I tried were easy to prepare and packed with flavor.",CNET,"The Cumin Club Deserves More Fanfare for Its 5-Minute Meal Kits Made by Indian Chefs I was surprised I hadn’t heard of The Cumin Club, as the five vegan Indian dishes I tried were easy to prepare and packed with flavor."
basmati rice,2026-05-27 10:43:28+00:00,India rice exports decline as Iran war curbs basmati shipments to Gulf,"India's rice exports decline 1.3% as the Iran war disrupts basmati shipments to Gulf markets, impacting prices.",BusinessLine,"India rice exports decline as Iran war curbs basmati shipments to Gulf India's rice exports decline 1.3% as the Iran war disrupts basmati shipments to Gulf markets, impacting prices."
basmati rice,2026-05-27 10:20:58+00:00,India rice exports decline as Iran war curbs basmati shipments to Gulf,"India's rice exports saw a slight dip in the first four months of 2026. Shipments of premium basmati rice to Gulf markets faced disruptions. This decline impacts Indian prices, which have already fallen. Non-basmati rice exports showed a small increase. Delay…",The Times of India,"India rice exports decline as Iran war curbs basmati shipments to Gulf India's rice exports saw a slight dip in the first four months of 2026. Shipments of premium basmati rice to Gulf markets faced disruptions. This decline impacts Indian prices, which have already fallen. Non-basmati rice exports showed a small increase. Delay…"
basmati rice,2026-05-26 15:29:05+00:00,"China rejects Indian rice consignments on alleged GMO presence, again","China continues to reject Indian rice shipments over alleged GMO presence, sparking concerns of a trade war with India.",BusinessLine,"China rejects Indian rice consignments on alleged GMO presence, again China continues to reject Indian rice shipments over alleged GMO presence, sparking concerns of a trade war with India."
basmati rice,2026-05-26 15:10:55+00:00,"Chicken, Tomato and Rice Bake","But like, summer style! (And it’s one pan. You in?) You guys, this is going to skyrocket to heavy rotation as soon as you see how simple it is. The rice goes in dry and perfectly cooks in the oven under a bed of seasoned chicken, chickpeas, spinach and quarte…",Bevcooks.com,"Chicken, Tomato and Rice Bake But like, summer style! (And it’s one pan. You in?) You guys, this is going to skyrocket to heavy rotation as soon as you see how simple it is. The rice goes in dry and perfectly cooks in the oven under a bed of seasoned chicken, chickpeas, spinach and quarte…"
basmati rice,2026-05-25 13:13:01+00:00,I'm a dietitian and mom of 2. These are the 9 Trader Joe's staples I buy to make healthy meals in less than 30 minutes.,"As a busy mother and licensed dietitian, I rely on  easy-to-prepare staples from the grocery store like brown rice, chickpeas, salmon, and meatloaf.",Business Insider,"I'm a dietitian and mom of 2. These are the 9 Trader Joe's staples I buy to make healthy meals in less than 30 minutes. As a busy mother and licensed dietitian, I rely on  easy-to-prepare staples from the grocery store like brown rice, chickpeas, salmon, and meatloaf."
basmati rice,2026-05-25 09:55:34+00:00,West Asia conflict may dent India Inc profitability by 200 bps: Crisil,"A prolonged West Asia conflict poses a risk to India Inc's profitability. Crisil Ratings predicts a significant drop in operating margins due to supply chain issues and rising costs. However, strong company balance sheets are expected to protect overall credi…",The Times of India,"West Asia conflict may dent India Inc profitability by 200 bps: Crisil A prolonged West Asia conflict poses a risk to India Inc's profitability. Crisil Ratings predicts a significant drop in operating margins due to supply chain issues and rising costs. However, strong company balance sheets are expected to protect overall credi…"
basmati rice,2026-05-25 02:15:13+00:00,Economic Digest: A Snapshot of Nepal’s Business News,"KATHMANDU: Economic Digest presents a brief yet comprehensive roundup of major business developments in Nepal, delivered in clear and accessible summaries. Nepal’s latest economic indicators reflect a fragile and import-dependent economy struggling with struc…",Khabarhub.com,"Economic Digest: A Snapshot of Nepal’s Business News KATHMANDU: Economic Digest presents a brief yet comprehensive roundup of major business developments in Nepal, delivered in clear and accessible summaries. Nepal’s latest economic indicators reflect a fragile and import-dependent economy struggling with struc…"
basmati rice,2026-05-25 00:00:00+00:00,"Weekly Health Quiz: How GLPs Messes with Your Mood, Why Glycine and Saunas Are Good for You","1 Ideally, how much Akkermansia bacteria should make up a healthy gut microbiome?

<ul>
<li>Less than 1% of total gut bacteria</li>
<li>Around 3% to 5% of the gut microbiome
Akkermansia should ideally make up about 3% to 5% of the gut microbiome, where it he…",Mercola.com,"Weekly Health Quiz: How GLPs Messes with Your Mood, Why Glycine and Saunas Are Good for You 1 Ideally, how much Akkermansia bacteria should make up a healthy gut microbiome?

<ul>
<li>Less than 1% of total gut bacteria</li>
<li>Around 3% to 5% of the gut microbiome
Akkermansia should ideally make up about 3% to 5% of the gut microbiome, where it he…"
basmati rice,2026-05-23 15:01:46+00:00,"Pick of BL commodities - May 24, 2026","With the Indian government curbing silver imports, the precious metal will likely trade at a premium. Investments in physically backed gold exchange-traded funds (ETFs) turned positive after two weeks in the week ending May 13. Plans are afoot to set up a Bas…",BusinessLine,"Pick of BL commodities - May 24, 2026 With the Indian government curbing silver imports, the precious metal will likely trade at a premium. Investments in physically backed gold exchange-traded funds (ETFs) turned positive after two weeks in the week ending May 13. Plans are afoot to set up a Bas…"
jowar,2026-06-22 16:01:39+00:00,"India’s kharif sowing tops 120 lakh hectares, no impact of deficient monsoon yet","India's kharif sowing exceeds 120 lakh hectares, with increased nutri-cereal coverage despite declines in cotton, soybean, and urad.",BusinessLine,"India’s kharif sowing tops 120 lakh hectares, no impact of deficient monsoon yet India's kharif sowing exceeds 120 lakh hectares, with increased nutri-cereal coverage despite declines in cotton, soybean, and urad."
jowar,2026-06-22 10:56:47+00:00,"Sensex today | Stock Market Highlights: Sensex rises 291 points, Nifty above 24,100; markets rebound on global cues","Sensex Today, Nifty 50 | Stock Market Highlights: Stock markets rebounded on Monday, with benchmark indices ending higher amid easing crude oil prices and supportive global cues following hopes of progress in US–Iran diplomatic talks. The BSE Sensex rose 291.…",BusinessLine,"Sensex today | Stock Market Highlights: Sensex rises 291 points, Nifty above 24,100; markets rebound on global cues Sensex Today, Nifty 50 | Stock Market Highlights: Stock markets rebounded on Monday, with benchmark indices ending higher amid easing crude oil prices and supportive global cues following hopes of progress in US–Iran diplomatic talks. The BSE Sensex rose 291.…"
jowar,2026-06-22 01:47:03+00:00,"These 20 stocks will remain in focus on Monday, June 22","Sun Pharma, Aurobindo Pharma, Tata Motors, Aavas Financiers, Patanjali, Power Mech, Texamaco, Deep Industries, Refex Industries, Cranes, Divgi, Shree Refrigeratiions, Kirloskar Oil, Century Enka, Knowledge Marine, Himadri Speciality, GRSE, RVNL will be in foc…",BusinessLine,"These 20 stocks will remain in focus on Monday, June 22 Sun Pharma, Aurobindo Pharma, Tata Motors, Aavas Financiers, Patanjali, Power Mech, Texamaco, Deep Industries, Refex Industries, Cranes, Divgi, Shree Refrigeratiions, Kirloskar Oil, Century Enka, Knowledge Marine, Himadri Speciality, GRSE, RVNL will be in foc…"
jowar,2026-06-12 19:16:53+00:00,Weak monsoon may drag agri GDP into contraction,"Indian agriculture is at a crossroads, facing significant hurdles in the coming years. Analysts project little to no growth for agricultural GDP in 2026-27, compounded by El Nino fears pushing farmers to adopt less water-reliant crops. While this could allevi…",The Times of India,"Weak monsoon may drag agri GDP into contraction Indian agriculture is at a crossroads, facing significant hurdles in the coming years. Analysts project little to no growth for agricultural GDP in 2026-27, compounded by El Nino fears pushing farmers to adopt less water-reliant crops. While this could allevi…"
jowar,2026-06-12 11:47:48+00:00,Anupam Kher is 71 and fitter than ever. His every day food costs just Rs 80 a kg but ‘not very tasty’. Science says it can help lose weight,"Veteran actor Anupam Kher, aged 71, showcases remarkable fitness. A recent workout video went viral, impressing fans. Kher shared his diet, including soaked sabja seeds and a chia seed bowl for breakfast. His meals feature sabzi and jowar ki roti. Jowar offer…",The Times of India,"Anupam Kher is 71 and fitter than ever. His every day food costs just Rs 80 a kg but ‘not very tasty’. Science says it can help lose weight Veteran actor Anupam Kher, aged 71, showcases remarkable fitness. A recent workout video went viral, impressing fans. Kher shared his diet, including soaked sabja seeds and a chia seed bowl for breakfast. His meals feature sabzi and jowar ki roti. Jowar offer…"
jowar,2026-06-09 09:03:45+00:00,"Monsoon advances into Bengal, Sikkim; set to cover more of Andhra, Telangana, Karnataka, Maharashtra this week","The southwest monsoon is progressing steadily across India. It has now covered Sikkim and parts of Northeast India. The India Meteorological Department forecasts further advancement into southern, central, and eastern regions over the next four to five days. …",The Times of India,"Monsoon advances into Bengal, Sikkim; set to cover more of Andhra, Telangana, Karnataka, Maharashtra this week The southwest monsoon is progressing steadily across India. It has now covered Sikkim and parts of Northeast India. The India Meteorological Department forecasts further advancement into southern, central, and eastern regions over the next four to five days. …"
jowar,2026-06-09 00:00:00+00:00,"El Niño clouds loom over kharif crops, farm pay","A developing El Niño event thousands of miles away poses a significant threat to India's agriculture. This weather phenomenon is linked to weaker monsoon rains and higher temperatures. Experts predict a potential decline in kharif crop production, impacting o…",The Times of India,"El Niño clouds loom over kharif crops, farm pay A developing El Niño event thousands of miles away poses a significant threat to India's agriculture. This weather phenomenon is linked to weaker monsoon rains and higher temperatures. Experts predict a potential decline in kharif crop production, impacting o…"
jowar,2026-06-08 03:50:00+00:00,Kangana Ranaut’s colourful thali diet promotes simple healthy eating habits,"Kangana Ranaut shared a video on Instagram, encouraging people to follow a balanced diet using simple Indian foods. She highlighted how local, seasonal, and colourful meals can improve overall health, energy, and immunity. Kangana promotes balanced diet",Economictimes.com,"Kangana Ranaut’s colourful thali diet promotes simple healthy eating habits Kangana Ranaut shared a video on Instagram, encouraging people to follow a balanced diet using simple Indian foods. She highlighted how local, seasonal, and colourful meals can improve overall health, energy, and immunity. Kangana promotes balanced diet"
jowar,2026-06-03 15:59:56+00:00,Prepare the ground,IMD forecast points to a deficient agri season this year,BusinessLine,Prepare the ground IMD forecast points to a deficient agri season this year
jowar,2026-05-30 06:30:00+00:00,6 Indian foods that become healthier when eaten together,"Indian food has always understood something modern nutrition is only now saying out loud: food works best in company. A single ingredient can be good on its own, but some combinations are better than the sum of their parts. They help the body absorb nutrients…",The Times of India,"6 Indian foods that become healthier when eaten together Indian food has always understood something modern nutrition is only now saying out loud: food works best in company. A single ingredient can be good on its own, but some combinations are better than the sum of their parts. They help the body absorb nutrients…"
jowar,2026-05-27 15:12:12+00:00,India’s foodgrain production up 5% in 2025-26 crop year,"India's foodgrain production for 2025-26 surges 5% with record rice and wheat outputs, despite challenges from climate conditions.",BusinessLine,"India’s foodgrain production up 5% in 2025-26 crop year India's foodgrain production for 2025-26 surges 5% with record rice and wheat outputs, despite challenges from climate conditions."
jowar,2026-05-26 13:40:03+00:00,"India’s area under summer crops up 3%, but paddy and moong acreage dips","India's summer crop area rises 3%, but paddy and moong acreage declines as sowing nears completion.",BusinessLine,"India’s area under summer crops up 3%, but paddy and moong acreage dips India's summer crop area rises 3%, but paddy and moong acreage declines as sowing nears completion."
jowar,2026-05-25 12:50:38+00:00,"Telangana to procure jowar, sunflower at MSP","Telangana government steps in to procure jowar and sunflower at MSP, expanding maize procurement amid falling market prices.",BusinessLine,"Telangana to procure jowar, sunflower at MSP Telangana government steps in to procure jowar and sunflower at MSP, expanding maize procurement amid falling market prices."
jowar,2026-05-23 14:53:03+00:00,India’s Millet Consumption Rises Sharply as Families Shift Toward Healthier Diets,"Millets: 70 percent of households regularly consume millets in some form or another in their diet. These include ragi, bajra, sorghum, barley, and maize. People are also opting for makhana, chickpeas, puffed rice, bhel, and peanuts for light evening snacks.",Sangritoday.com,"India’s Millet Consumption Rises Sharply as Families Shift Toward Healthier Diets Millets: 70 percent of households regularly consume millets in some form or another in their diet. These include ragi, bajra, sorghum, barley, and maize. People are also opting for makhana, chickpeas, puffed rice, bhel, and peanuts for light evening snacks."
